Customer ID,Name,Age,Segment,Total Purchases,Total Spent,Customer Type
DF4D8E20,Cindy Gonzalez,71,Regular,16,3448.68,Repeat
973D90DF,Dustin Nash,69,Regular,48,13591.81,New
291AD4DF,Melanie Nichols,58,New,21,7228.77,New
EAC5329E,Christopher Harding,30,Premium,39,14346.27,New
866576FC,Monique Espinoza,69,New,17,4586.0,Repeat
DCF23059,Brittany Jones,28,Loyal,43,5587.84,Repeat
BEECC282,Omar Burnett,18,New,26,11689.55,New
FCC52214,Jerry Roberts,25,Loyal,15,6226.57,Repeat
E8629A75,Benjamin Henderson,59,Loyal,29,9365.36,Repeat
9E0F8E8F,Rebecca Mccormick,34,Loyal,43,18481.39,New
01A7E7E5,Jordan Hernandez,23,New,4,1598.56,Repeat
4CEC61C9,Michael Skinner,55,Regular,28,9635.29,Repeat
C69C9B2D,Nicole Frank,39,Premium,31,12753.26,New
14DECDEB,Jeffrey Marks,39,Premium,26,5292.57,Repeat
6B5FBD5A,Sarah Martin,68,Regular,49,24380.37,Repeat
523363A0,Amy Mcgrath,41,Regular,10,4772.96,New
53C9C0FF,Denise Hayes,23,Premium,42,9748.37,Repeat
C269A6B2,Michael Bautista,32,Regular,34,16686.34,New
FBDF5057,Patrick Jackson,29,New,24,3147.3,Repeat
33F7D2AE,Ronald Munoz,69,Regular,38,12286.01,New
2F168064,Sandra Ross,65,Premium,38,4427.62,Repeat
8B78F9B8,Phillip Holloway,27,New,19,1982.46,New
B1739FBB,Jeffrey Thomas,50,New,8,2475.92,Repeat
3086E34C,Amber Payne,31,Premium,36,4851.08,Repeat
476E6F6F,Laura Brown,46,Premium,31,5988.05,New
B2389236,Tabitha Barnes,44,Regular,48,17770.17,Repeat
DA55EE2C,Mr. Devon Montgomery PhD,64,Premium,32,10790.41,New
65A59177,Amanda James,38,New,33,1722.35,Repeat
83D3421F,Michael Black,33,Premium,8,3300.53,New
64B27EA4,Kimberly Hernandez,32,New,48,10360.96,New
276E8D66,Diana Cain,30,Regular,19,2568.05,Repeat
E844704E,Mitchell Ibarra,43,Premium,41,3696.52,Repeat
10432525,Jacqueline Wall,64,Premium,39,18931.95,Repeat
00D6BD6F,David Robertson,27,Premium,4,165.74,Repeat
0D2A13FB,Ronald Taylor,19,Premium,29,10576.76,New
943B150F,Kaitlyn Gordon,32,Premium,25,4299.97,Repeat
43B8EC6D,Jessica Sullivan,29,Loyal,22,6976.15,New
990F154D,David Medina,70,Loyal,3,470.16,Repeat
FEBAE1F8,Crystal Webb,33,Premium,16,5358.24,New
8D38F7EF,James Williams,51,Loyal,48,7496.79,New
0F88BA2B,Samuel Ramsey,54,New,50,8751.88,Repeat
C2A23F0C,Elizabeth Garcia,26,New,5,1266.09,Repeat
96CA6BD0,Clinton Brooks,59,New,8,2700.41,Repeat
7796EE0C,Angela Stevens,67,New,47,8491.82,Repeat
A444F74B,Monica Hall,59,Premium,39,10633.47,Repeat
AC560DE7,Natalie Daugherty,42,Regular,48,15558.01,New
A549A6B9,Glen Chang,63,Loyal,37,3290.33,Repeat
31D41FB6,Marcus Kelly,20,Regular,28,2772.28,New
1286FA82,Miss Alexis Gonzalez,19,Loyal,11,3841.08,New
B5A53FE4,Anthony Pope,40,New,31,1295.26,Repeat
A52DB94E,Dominique Rodriguez,23,New,39,8656.21,Repeat
7F8B7735,Lauren Gonzalez,31,Premium,8,1340.51,Repeat
4753BE53,Curtis Oconnor,18,Loyal,48,22189.34,New
